latitude,longitude,altitude,geometry,coordinates,@id,amenity,building,name,type,shop,landuse,tourism,area,highway,addr:housenumber,addr:street,barrier,operator,addr:city,addr:postcode,check_date,opening_hours,wheelchair,building:levels,toilets:wheelchair,wikidata,opening_hours:cinema,opening_hours:restaurant,source,alt_name,access,phone,addr:district,name:en,name:hi,indoor:area,indoor:level,male,fee,toilets:disposal,layer,description,note,female,level,website,designation,fax,place,payment:bitcoin,payment,tactile_paving,unisex,changing_table,address,crossing,disused:amenity
28.6311039,77.0684705,,Polygon,"77.0684705,28.6311039,77.0685983,28.6325467,77.0677177,28.6326009,77.0676025,28.6311594,77.0684705,28.6311039",way/262562931,,yes,Reliance Mall,,mall,,,,,,Guru Virjanand Marg,,Reliance Retail,"Vikaspuri, New Delhi",110018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6303268,77.0675466,,Polygon,"77.0675466,28.6303268,77.0675302,28.6298903,77.0676217,28.6297335,77.0683911,28.6300303,77.0684156,28.6302656,77.0675466,28.6303268",way/262562939,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6517755,77.0877869,,Polygon,"77.0877869,28.6517755,77.0870678,28.6508396,77.0872555,28.6508302,77.0872555,28.6506419,77.0879207,28.6506137,77.0879368,28.6507502,77.0890582,28.6507069,77.0887039,28.6499734,77.0910106,28.6497663,77.091252,28.6506984,77.0910213,28.65172,77.0877869,28.6517755",way/262719287,marketplace,,Ch Chait Ram Subzi Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6428225,77.1050653,,Polygon,"77.1050653,28.6428225,77.1049086,28.6426036,77.105088,28.6424991,77.1053914,28.6422646,77.1055202,28.642048,77.1058206,28.6418597,77.1066574,28.641436,77.1068677,28.6415231,77.1071145,28.6417208,77.1072647,28.6419186,77.1073183,28.6421069,77.1073183,28.6423234,77.1067926,28.6434534,77.1050653,28.6428225",way/265166888,,,Pacific Mall,,mall,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5390981,77.2612353,,Polygon,"77.2612353,28.5390981,77.2616234,28.5389841,77.2617868,28.5394062,77.2614093,28.539528,77.2612353,28.5390981",way/265732516,marketplace,,Subzi Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5634702,77.231908,,Polygon,"77.231908,28.5634702,77.2326158,28.5633278,77.2332415,28.5644039,77.2334248,28.5648715,77.233375,28.5650269,77.2333363,28.5651548,77.2331261,28.5652799,77.232914,28.5653251,77.2326826,28.5653521,77.232145,28.5653535,77.232093,28.5650786,77.2320539,28.5648749,77.2320227,28.5648666,77.2319954,28.5645848,77.2320669,28.5645706,77.231908,28.5634702",way/265763300,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6687458,77.1830756,,Polygon,"77.1830756,28.6687458,77.1840619,28.6684113,77.184293,28.668936,77.1833067,28.6692705,77.1830756,28.6687458",way/265911418,police,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6416838,77.241631,,Polygon,"77.241631,28.6416838,77.2419153,28.6417121,77.2419045,28.6422158,77.2407619,28.6421593,77.2408156,28.6413213,77.2416739,28.641246,77.241631,28.6416838",way/266768715,police,yes,Daryaganj Police Station,,,,,,,,,,Delhi Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6565081,77.1210279,,Polygon,"77.1210279,28.6565081,77.1218333,28.6558153,77.1230393,28.656794,77.122277,28.6575258,77.1210279,28.6565081",way/277949819,police,,Nishkam Seva Bhawan,,,,,,,,,wall,,,,,,,,,,,,,Home Gaurds,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.564412,77.058711,,Polygon,"77.058711,28.564412,77.0585408,28.5645258,77.0590428,28.5651054,77.0584983,28.5654693,77.0577495,28.5646048,77.0584643,28.5641272,77.058711,28.564412",way/279962774,police,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6223117,77.3401041,,Polygon,"77.3401041,28.6223117,77.3401617,28.622204,77.3402017,28.6225952,77.340372,28.6236302,77.3395658,28.6240192,77.3399489,28.6231599,77.340029,28.6225139,77.3401041,28.6223117",way/283784907,police,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6637973,77.2861068,,Polygon,"77.2861068,28.6637973,77.2864593,28.6639533,77.2866914,28.6643103,77.2870591,28.6644822,77.2867456,28.6653839,77.2864232,28.665212,77.2862122,28.6650772,77.2858355,28.6648841,77.2854649,28.6647017,77.2861068,28.6637973",way/287500331,police,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6871641,77.155549,,Polygon,"77.155549,28.6871641,77.1555483,28.6870688,77.1554497,28.6870688,77.1554504,28.6870053,77.15562,28.6870029,77.1556442,28.6871623,77.155549,28.6871641",way/288920358,marketplace,yes,C2 Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6419713,77.2263431,,Polygon,"77.2263431,28.6419713,77.2266595,28.6424657,77.2266354,28.6425598,77.2264396,28.642694,77.2264852,28.642767,77.2258966,28.6430669,77.225475,28.6424195,77.2263431,28.6419713",way/289961816,police,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.7068226,77.2241053,,Polygon,"77.2241053,28.7068226,77.2245829,28.7066241,77.2247988,28.7071572,77.2246509,28.7072053,77.224379,28.7072936,77.2241053,28.7068226",way/290136040,police,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6113734,77.0859626,,Polygon,"77.0859626,28.6113734,77.0862881,28.6113315,77.0865907,28.6115614,77.0861723,28.6117922,77.0860197,28.6116323,77.0859626,28.6113734",way/290681556,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6918158,77.1576824,,Polygon,"77.1576824,28.6918158,77.1578039,28.691576,77.1576583,28.6914747,77.1576851,28.6914559,77.1576055,28.6913477,77.1577012,28.6912959,77.1577951,28.6914111,77.1578388,28.6914466,77.1578756,28.6914676,77.1580105,28.6915195,77.1578281,28.6918654,77.1576824,28.6918158",way/290765609,marketplace,,C7 Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5329618,77.2192639,,Polygon,"77.2192639,28.5329618,77.2190877,28.5329597,77.2190808,28.5328371,77.2199004,28.53269,77.2198935,28.5329293,77.2194562,28.5329638,77.2194516,28.5328592,77.2192593,28.5328753,77.2192639,28.5329618",way/291621843,police,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6258839,77.0649369,,Polygon,"77.0649369,28.6258839,77.064497,28.6257132,77.064812,28.6250877,77.0652519,28.6252584,77.0649369,28.6258839",way/291623401,police,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.706908,77.2039121,,Polygon,"77.2039121,28.706908,77.2044248,28.7068986,77.2044332,28.7072545,77.2039205,28.7072639,77.2039121,28.706908",way/292511169,police,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6537727,77.2102127,,Polygon,"77.2102127,28.6537727,77.2110691,28.6537119,77.2112576,28.6542518,77.210221,28.6545485,77.2102127,28.6537727",way/293158433,police,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.625422,77.2443217,,Polygon,"77.2443217,28.625422,77.2449974,28.6247969,77.2449569,28.6254362,77.2443217,28.625422",way/293395747,police,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6458261,77.2086861,,Polygon,"77.2086861,28.6458261,77.2085398,28.6451687,77.2086888,28.6451391,77.2093511,28.6450243,77.2094686,28.6455139,77.2094529,28.6455615,77.2094338,28.6455984,77.209407,28.6456329,77.2093712,28.6456696,77.2093282,28.6457037,77.2086861,28.6458261",way/293526551,police,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5778468,77.2594187,,Polygon,"77.2594187,28.5778468,77.2595771,28.5776216,77.2603941,28.5780999,77.2598906,28.5783307,77.2594187,28.5778468",way/294119235,police,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.8526692,77.0876794,,Polygon,"77.0876794,28.8526692,77.0882663,28.8527562,77.0885145,28.8535627,77.0879954,28.853456,77.0874041,28.8535311,77.0876794,28.8526692",way/294127508,police,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5921602,77.2441705,,Polygon,"77.2441705,28.5921602,77.2440138,28.5923781,77.2439512,28.5924488,77.2438529,28.5925331,77.2437478,28.5926038,77.2435288,28.5926843,77.243317,28.5920852,77.2437058,28.5918021,77.2441705,28.5921602",way/294235756,police,,Hazrat Nizamuddin Police Station,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5705364,77.178161,,Polygon,"77.178161,28.5705364,77.1786133,28.5703698,77.1788078,28.5705278,77.1790364,28.5706047,77.1793137,28.5706944,77.179659,28.5708097,77.1800189,28.570908,77.1793039,28.571506,77.1789829,28.5718562,77.178161,28.5705364",way/294524907,police,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6129735,77.0981147,,Polygon,"77.0981147,28.6129735,77.0982152,28.6127776,77.0984588,28.6129032,77.0984026,28.6130169,77.098343,28.6129855,77.0982987,28.6130588,77.0981147,28.6129735",way/299605651,marketplace,yes,Vikas Surya Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.615936,77.0947019,,Polygon,"77.0947019,28.615936,77.0942691,28.6157502,77.094402,28.6154425,77.0948374,28.6155653,77.0947019,28.615936",way/299605875,marketplace,yes,Kadimi Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6371046,77.2854505,,Polygon,"77.2854505,28.6371046,77.2858713,28.6364517,77.2866186,28.6368292,77.287,28.6370176,77.2875214,28.6372746,77.2873424,28.6375474,77.2872263,28.6377205,77.2871522,28.6378278,77.2870591,28.6379473,77.2868455,28.638042,77.2866661,28.6380656,77.2864809,28.6380481,77.2863352,28.6379867,77.2861995,28.6379068,77.2861166,28.637822,77.2860285,28.6376744,77.285985,28.6375288,77.2859665,28.6373903,77.2854505,28.6371046",way/302534538,,,V3S Mall,,mall,,,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6151864,77.2210684,,Polygon,"77.2210684,28.6151864,77.2210807,28.6151353,77.2211885,28.6151552,77.2211762,28.6152063,77.2210684,28.6151864",way/317061783,toilets,yes,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6593308,77.2234538,,Polygon,"77.2234538,28.6593308,77.2234781,28.6596023,77.2225134,28.6596878,77.2223965,28.6594206,77.2234538,28.6593308",way/320348672,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5845507,77.1789984,,Polygon,"77.1789984,28.5845507,77.178739,28.5846578,77.1786843,28.5845557,77.1789437,28.5844486,77.1789984,28.5845507",way/348215834,marketplace,,Begum Zaidi Market  Moti Bagh - North Facing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5843673,77.1787605,,Polygon,"77.1787605,28.5843673,77.1786343,28.5841212,77.1787461,28.584077,77.1788722,28.5843232,77.1787605,28.5843673",way/348215855,marketplace,,Begum Zaidi Market Moti Bagh - North Facing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5817067,77.1790847,,Polygon,"77.1790847,28.5817067,77.1783276,28.5813723,77.1783805,28.5812798,77.1791377,28.5816143,77.1790847,28.5817067",way/348215988,marketplace,,Basrurkar Maket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
